timestamp,device_name,min,max,avg,bin_count
2026-06-27T14:49:47.848+00:00,Wi-Spy DBx USB 2417295654,-116,-56,-99.14,285
2026-06-27T14:49:48.376+00:00,Wi-Spy DBx USB 2417295654,-118,-37,-92.73,285
2026-06-27T14:49:48.948+00:00,Wi-Spy DBx USB 2417295654,-118,-39,-91.3,285
2026-06-27T14:49:49.530+00:00,Wi-Spy DBx USB 2417295654,-114,-36,-97.55,285
2026-06-27T14:49:50.082+00:00,Wi-Spy DBx USB 2417295654,-118,-38,-96.95,285
2026-06-27T14:49:50.660+00:00,Wi-Spy DBx USB 2417295654,-105,-35,-91.98,285
2026-06-27T14:49:51.236+00:00,Wi-Spy DBx USB 2417295654,-118,-44,-98.08,285
2026-06-27T14:49:53.391+00:00,Wi-Spy DBx USB 2417295654,-118,-36,-98.53,285
2026-06-27T14:49:53.911+00:00,Wi-Spy DBx USB 2417295654,-117,-42,-86.09,285
2026-06-27T14:49:54.498+00:00,Wi-Spy DBx USB 2417295654,-116,-39,-97.47,285
2026-06-27T14:49:54.993+00:00,Wi-Spy DBx USB 2417295654,-119,-47,-94.73,285
2026-06-27T14:49:55.593+00:00,Wi-Spy DBx USB 2417295654,-117,-37,-93.78,285
2026-06-27T14:49:56.159+00:00,Wi-Spy DBx USB 2417295654,-114,-49,-98.06,285
2026-06-27T14:49:56.719+00:00,Wi-Spy DBx USB 2417295654,-117,-32,-82.28,285
2026-06-27T14:49:57.273+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-90.39,285
2026-06-27T14:49:57.832+00:00,Wi-Spy DBx USB 2417295654,-114,-39,-97.87,285
2026-06-27T14:49:58.404+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-90.62,285
2026-06-27T14:49:58.986+00:00,Wi-Spy DBx USB 2417295654,-117,-39,-97.69,285
2026-06-27T14:49:59.759+00:00,Wi-Spy DBx USB 2417295654,-117,-35,-89.76,285
2026-06-27T14:50:00.097+00:00,Wi-Spy DBx USB 2417295654,-115,-35,-89.25,285
2026-06-27T14:50:00.679+00:00,Wi-Spy DBx USB 2417295654,-118,-35,-96.3,285
2026-06-27T14:50:01.243+00:00,Wi-Spy DBx USB 2417295654,-119,-41,-94.32,285
2026-06-27T14:50:01.826+00:00,Wi-Spy DBx USB 2417295654,-118,-33,-97.14,285
2026-06-27T14:50:02.355+00:00,Wi-Spy DBx USB 2417295654,-116,-58,-98.39,285
2026-06-27T14:50:03.262+00:00,Wi-Spy DBx USB 2417295654,-117,-38,-97.71,285
2026-06-27T14:50:03.900+00:00,Wi-Spy DBx USB 2417295654,-115,-35,-97.62,285
2026-06-27T14:50:04.232+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-97.76,285
2026-06-27T14:50:05.161+00:00,Wi-Spy DBx USB 2417295654,-117,-46,-97.94,285
2026-06-27T14:50:05.463+00:00,Wi-Spy DBx USB 2417295654,-119,-40,-97.78,285
2026-06-27T14:50:06.293+00:00,Wi-Spy DBx USB 2417295654,-118,-55,-96.58,285
2026-06-27T14:50:06.615+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-89.26,285
2026-06-27T14:50:07.355+00:00,Wi-Spy DBx USB 2417295654,-106,-40,-90.36,285
2026-06-27T14:50:07.800+00:00,Wi-Spy DBx USB 2417295654,-119,-39,-97.28,285
2026-06-27T14:50:08.361+00:00,Wi-Spy DBx USB 2417295654,-119,-43,-98.21,285
2026-06-27T14:50:08.938+00:00,Wi-Spy DBx USB 2417295654,-116,-57,-98.99,285
2026-06-27T14:50:09.502+00:00,Wi-Spy DBx USB 2417295654,-110,-38,-98.56,285
2026-06-27T14:50:10.332+00:00,Wi-Spy DBx USB 2417295654,-118,-50,-98.31,285
2026-06-27T14:50:10.689+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-98.1,285
2026-06-27T14:50:11.282+00:00,Wi-Spy DBx USB 2417295654,-118,-35,-97.39,285
2026-06-27T14:50:11.832+00:00,Wi-Spy DBx USB 2417295654,-104,-42,-97.87,285
2026-06-27T14:50:12.408+00:00,Wi-Spy DBx USB 2417295654,-117,-36,-94.87,285
2026-06-27T14:50:12.956+00:00,Wi-Spy DBx USB 2417295654,-118,-27,-92.8,285
2026-06-27T14:50:13.534+00:00,Wi-Spy DBx USB 2417295654,-117,-55,-95.4,285
2026-06-27T14:50:14.103+00:00,Wi-Spy DBx USB 2417295654,-118,-31,-97.33,285
2026-06-27T14:50:14.654+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-94.71,285
2026-06-27T14:50:15.227+00:00,Wi-Spy DBx USB 2417295654,-118,-35,-97.78,285
2026-06-27T14:50:15.797+00:00,Wi-Spy DBx USB 2417295654,-107,-38,-97.17,285
2026-06-27T14:50:16.338+00:00,Wi-Spy DBx USB 2417295654,-119,-33,-97.94,285
2026-06-27T14:50:16.918+00:00,Wi-Spy DBx USB 2417295654,-116,-56,-96.49,285
2026-06-27T14:50:17.467+00:00,Wi-Spy DBx USB 2417295654,-104,-34,-97.54,285
2026-06-27T14:50:18.029+00:00,Wi-Spy DBx USB 2417295654,-116,-37,-99.13,285
2026-06-27T14:50:18.580+00:00,Wi-Spy DBx USB 2417295654,-118,-32,-97.61,285
2026-06-27T14:50:19.140+00:00,Wi-Spy DBx USB 2417295654,-118,-36,-95.74,285
2026-06-27T14:50:19.703+00:00,Wi-Spy DBx USB 2417295654,-118,-35,-97.85,285
2026-06-27T14:50:20.262+00:00,Wi-Spy DBx USB 2417295654,-118,-37,-96.69,285
2026-06-27T14:50:20.805+00:00,Wi-Spy DBx USB 2417295654,-116,-33,-98.46,285
2026-06-27T14:50:21.362+00:00,Wi-Spy DBx USB 2417295654,-117,-51,-99.31,285
2026-06-27T14:50:21.931+00:00,Wi-Spy DBx USB 2417295654,-118,-50,-98.7,285
2026-06-27T14:50:22.496+00:00,Wi-Spy DBx USB 2417295654,-118,-51,-98.59,285
2026-06-27T14:50:23.065+00:00,Wi-Spy DBx USB 2417295654,-117,-49,-99.04,285
2026-06-27T14:50:23.632+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-97.89,285
2026-06-27T14:50:24.195+00:00,Wi-Spy DBx USB 2417295654,-118,-36,-98.38,285
2026-06-27T14:50:24.774+00:00,Wi-Spy DBx USB 2417295654,-119,-36,-95.18,285
2026-06-27T14:50:25.314+00:00,Wi-Spy DBx USB 2417295654,-118,-46,-97.55,285
2026-06-27T14:50:25.873+00:00,Wi-Spy DBx USB 2417295654,-117,-37,-98.54,285
2026-06-27T14:50:26.446+00:00,Wi-Spy DBx USB 2417295654,-118,-33,-96.58,285
2026-06-27T14:50:27.009+00:00,Wi-Spy DBx USB 2417295654,-118,-37,-97.75,285
2026-06-27T14:50:28.128+00:00,Wi-Spy DBx USB 2417295654,-119,-38,-96.63,285
2026-06-27T14:50:28.704+00:00,Wi-Spy DBx USB 2417295654,-118,-36,-97.58,285
2026-06-27T14:50:29.252+00:00,Wi-Spy DBx USB 2417295654,-117,-43,-96.92,285
2026-06-27T14:50:29.822+00:00,Wi-Spy DBx USB 2417295654,-118,-47,-97.45,285
2026-06-27T14:50:30.369+00:00,Wi-Spy DBx USB 2417295654,-117,-41,-97.8,285
2026-06-27T14:50:30.918+00:00,Wi-Spy DBx USB 2417295654,-117,-41,-97.1,285
2026-06-27T14:50:31.484+00:00,Wi-Spy DBx USB 2417295654,-111,-41,-98.34,285
2026-06-27T14:50:32.043+00:00,Wi-Spy DBx USB 2417295654,-117,-54,-97.8,285
2026-06-27T14:50:32.623+00:00,Wi-Spy DBx USB 2417295654,-119,-40,-97.67,285
2026-06-27T14:50:33.185+00:00,Wi-Spy DBx USB 2417295654,-114,-38,-97.49,285
2026-06-27T14:50:33.749+00:00,Wi-Spy DBx USB 2417295654,-118,-39,-97.26,285
2026-06-27T14:50:34.304+00:00,Wi-Spy DBx USB 2417295654,-116,-51,-97.53,285
2026-06-27T14:50:34.878+00:00,Wi-Spy DBx USB 2417295654,-117,-40,-97.76,285
2026-06-27T14:50:36.003+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-98.3,285
2026-06-27T14:50:36.570+00:00,Wi-Spy DBx USB 2417295654,-117,-42,-97.04,285
2026-06-27T14:50:37.115+00:00,Wi-Spy DBx USB 2417295654,-116,-40,-96.17,285
2026-06-27T14:50:37.680+00:00,Wi-Spy DBx USB 2417295654,-116,-39,-95.15,285
2026-06-27T14:50:38.244+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-98.45,285
2026-06-27T14:50:38.801+00:00,Wi-Spy DBx USB 2417295654,-117,-33,-97.6,285
2026-06-27T14:50:39.371+00:00,Wi-Spy DBx USB 2417295654,-119,-39,-97.31,285
2026-06-27T14:50:39.926+00:00,Wi-Spy DBx USB 2417295654,-116,-59,-97.38,285
2026-06-27T14:50:40.498+00:00,Wi-Spy DBx USB 2417295654,-115,-37,-97.73,285
2026-06-27T14:50:41.054+00:00,Wi-Spy DBx USB 2417295654,-119,-32,-97.8,285
2026-06-27T14:50:41.620+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-98.89,285
2026-06-27T14:50:42.160+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-98.56,285
2026-06-27T14:50:42.716+00:00,Wi-Spy DBx USB 2417295654,-117,-47,-98.55,285
2026-06-27T14:50:43.280+00:00,Wi-Spy DBx USB 2417295654,-118,-44,-98.07,285
2026-06-27T14:50:43.841+00:00,Wi-Spy DBx USB 2417295654,-112,-49,-98.89,285
2026-06-27T14:50:44.403+00:00,Wi-Spy DBx USB 2417295654,-117,-43,-98.82,285
2026-06-27T14:50:44.980+00:00,Wi-Spy DBx USB 2417295654,-119,-52,-99.02,285
2026-06-27T14:50:45.537+00:00,Wi-Spy DBx USB 2417295654,-118,-45,-98.13,285
2026-06-27T14:50:46.103+00:00,Wi-Spy DBx USB 2417295654,-118,-51,-98.77,285
2026-06-27T14:50:46.667+00:00,Wi-Spy DBx USB 2417295654,-118,-34,-98.25,285
2026-06-27T14:50:47.227+00:00,Wi-Spy DBx USB 2417295654,-108,-39,-98.8,285
2026-06-27T14:50:47.773+00:00,Wi-Spy DBx USB 2417295654,-118,-37,-98.14,285
2026-06-27T14:50:48.336+00:00,Wi-Spy DBx USB 2417295654,-117,-35,-97.65,285
2026-06-27T14:50:48.911+00:00,Wi-Spy DBx USB 2417295654,-119,-33,-97.38,285
2026-06-27T14:50:49.458+00:00,Wi-Spy DBx USB 2417295654,-104,-40,-96.92,285
2026-06-27T14:50:50.024+00:00,Wi-Spy DBx USB 2417295654,-104,-39,-96.76,285
2026-06-27T14:50:50.589+00:00,Wi-Spy DBx USB 2417295654,-104,-32,-97.14,285
2026-06-27T14:50:51.145+00:00,Wi-Spy DBx USB 2417295654,-118,-39,-97.07,285
2026-06-27T14:50:51.711+00:00,Wi-Spy DBx USB 2417295654,-119,-56,-98.52,285
2026-06-27T14:50:52.260+00:00,Wi-Spy DBx USB 2417295654,-114,-32,-96.88,285
2026-06-27T14:50:52.817+00:00,Wi-Spy DBx USB 2417295654,-118,-45,-98.05,285
2026-06-27T14:50:53.936+00:00,Wi-Spy DBx USB 2417295654,-118,-36,-97.41,285
2026-06-27T14:50:54.511+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-97.61,285
2026-06-27T14:50:55.066+00:00,Wi-Spy DBx USB 2417295654,-118,-34,-98.28,285
2026-06-27T14:50:55.618+00:00,Wi-Spy DBx USB 2417295654,-118,-46,-98.41,285
2026-06-27T14:50:56.193+00:00,Wi-Spy DBx USB 2417295654,-118,-47,-98.31,285
2026-06-27T14:50:56.757+00:00,Wi-Spy DBx USB 2417295654,-113,-32,-97.32,285
2026-06-27T14:50:57.315+00:00,Wi-Spy DBx USB 2417295654,-117,-42,-97.71,285
2026-06-27T14:50:57.873+00:00,Wi-Spy DBx USB 2417295654,-118,-38,-97.84,285
2026-06-27T14:50:58.457+00:00,Wi-Spy DBx USB 2417295654,-118,-46,-98.11,285
2026-06-27T14:50:59.008+00:00,Wi-Spy DBx USB 2417295654,-118,-39,-97.35,285
2026-06-27T14:50:59.563+00:00,Wi-Spy DBx USB 2417295654,-109,-36,-97.38,285
2026-06-27T14:51:00.131+00:00,Wi-Spy DBx USB 2417295654,-113,-39,-98.27,285
2026-06-27T14:51:00.690+00:00,Wi-Spy DBx USB 2417295654,-117,-40,-98.1,285
2026-06-27T14:51:01.235+00:00,Wi-Spy DBx USB 2417295654,-116,-51,-98.72,285
2026-06-27T14:51:01.800+00:00,Wi-Spy DBx USB 2417295654,-118,-40,-98.14,285
2026-06-27T14:51:02.351+00:00,Wi-Spy DBx USB 2417295654,-115,-56,-95.95,285
2026-06-27T14:51:02.916+00:00,Wi-Spy DBx USB 2417295654,-117,-41,-97.81,285
2026-06-27T14:51:03.488+00:00,Wi-Spy DBx USB 2417295654,-119,-50,-98.26,285
2026-06-27T14:51:04.049+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-97.55,285
2026-06-27T14:51:04.614+00:00,Wi-Spy DBx USB 2417295654,-118,-58,-98.11,285
