timestamp,device_name,min,max,avg,bin_count
2026-06-27T15:16:05.232+00:00,Wi-Spy DBx USB 2417295654,-118,-35,-97.18,285
2026-06-27T15:16:05.775+00:00,Wi-Spy DBx USB 2417295654,-118,-39,-97.94,285
2026-06-27T15:16:06.335+00:00,Wi-Spy DBx USB 2417295654,-118,-36,-97.59,285
2026-06-27T15:16:06.927+00:00,Wi-Spy DBx USB 2417295654,-117,-29,-80.79,285
2026-06-27T15:16:07.489+00:00,Wi-Spy DBx USB 2417295654,-112,-30,-77.18,285
2026-06-27T15:16:08.044+00:00,Wi-Spy DBx USB 2417295654,-118,-34,-92.87,285
2026-06-27T15:16:08.631+00:00,Wi-Spy DBx USB 2417295654,-118,-31,-95.07,285
2026-06-27T15:16:09.171+00:00,Wi-Spy DBx USB 2417295654,-118,-49,-97.89,285
2026-06-27T15:16:09.736+00:00,Wi-Spy DBx USB 2417295654,-117,-31,-97.63,285
2026-06-27T15:16:10.307+00:00,Wi-Spy DBx USB 2417295654,-119,-32,-92.58,285
2026-06-27T15:16:10.863+00:00,Wi-Spy DBx USB 2417295654,-118,-30,-96.93,285
2026-06-27T15:16:11.412+00:00,Wi-Spy DBx USB 2417295654,-114,-43,-97.41,285
2026-06-27T15:16:11.987+00:00,Wi-Spy DBx USB 2417295654,-118,-33,-97.63,285
2026-06-27T15:16:12.544+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-97.55,285
2026-06-27T15:16:13.126+00:00,Wi-Spy DBx USB 2417295654,-118,-33,-97.68,285
2026-06-27T15:16:13.672+00:00,Wi-Spy DBx USB 2417295654,-119,-40,-97.36,285
2026-06-27T15:16:14.231+00:00,Wi-Spy DBx USB 2417295654,-115,-31,-97.23,285
2026-06-27T15:16:14.793+00:00,Wi-Spy DBx USB 2417295654,-118,-38,-97.67,285
2026-06-27T15:16:15.356+00:00,Wi-Spy DBx USB 2417295654,-115,-35,-97.68,285
2026-06-27T15:16:15.916+00:00,Wi-Spy DBx USB 2417295654,-118,-35,-97.02,285
2026-06-27T15:16:16.479+00:00,Wi-Spy DBx USB 2417295654,-119,-38,-96.73,285
2026-06-27T15:16:17.045+00:00,Wi-Spy DBx USB 2417295654,-118,-34,-97.9,285
2026-06-27T15:16:17.599+00:00,Wi-Spy DBx USB 2417295654,-118,-41,-97.42,285
